query,_id,_score,name,symbol,entrezgene,notfound
ENSG00000236977,101927547,32.905186,ANKRD44 intronic transcript 1,ANKRD44-IT1,101927547,
ENSG00000230482,ENSG00000230482,10.614576,ATP5MC2 pseudogene 3,ATP5MC2P3,,
ENSG00000225979,ENSG00000225979,32.905186,ANKRD44 divergent transcript,ANKRD44-DT,,
ENSG00000213104,ENSG00000213104,10.614576,nucleophosmin 1 pseudogene 46,NPM1P46,,
ENSG00000115524,23451,31.898127,splicing factor 3b subunit 1,SF3B1,23451,
ENSG00000202434,124900524,32.905186,small nucleolar RNA SNORA4,LOC124900524,124900524,
ENSG00000206836,106480019,10.614576,"RNA, U6 small nuclear 1029, pseudogene",RNU6-1029P,106480019,
ENSG00000115520,80219,32.905174,coenzyme Q10B,COQ10B,80219,
ENSG00000144381,3329,31.898115,heat shock protein family D (Hsp60) member 1,HSPD1,3329,
ENSG00000115541,3336,32.905167,heat shock protein family E (Hsp10) member 1,HSPE1,3336,
ENSG00000270757,100529241,32.905167,HSPE1-MOB4 readthrough,HSPE1-MOB4,100529241,
ENSG00000115540,25843,31.89811,"MOB family member 4, phocein",MOB4,25843,
ENSG00000231699,ENSG00000231699,32.905186,,,,
ENSG00000162944,130132,32.905186,raftlin family member 2,RFTN2,130132,
ENSG00000222017,ENSG00000222017,32.905186,,,,
ENSG00000247626,92935,31.898127,"methionyl-tRNA synthetase 2, mitochondrial",MARS2,92935,
ENSG00000152430,66037,31.89812,boule RNA binding protein,BOLL,66037,
ENSG00000115896,5334,32.905178,phospholipase C like 1 (inactive),PLCL1,5334,
ENSG00000237035,ENSG00000237035,32.905186,,,,
ENSG00000236653,101927619,32.905178,long intergenic non-protein coding RNA 1923,LINC01923,101927619,
ENSG00000225421,ENSG00000225421,32.905186,,,,
ENSG00000252511,,,,,,True
ENSG00000280599,,,,,,True
ENSG00000231557,ENSG00000231557,32.905174,,,,
ENSG00000230407,100419513,10.614573,MIA SH3 domain ER export factor 2 pseudogene,LOC100419513,100419513,
ENSG00000238698,106480451,10.614576,"RNA, U7 small nuclear 147 pseudogene",RNU7-147P,106480451,
ENSG00000119042,23314,31.234789,SATB homeobox 2,SATB2,23314,
ENSG00000257045,ENSG00000257045,32.905178,,,,
ENSG00000225953,150538,32.905178,SATB2 antisense RNA 1,SATB2-AS1,150538,
ENSG00000238217,101927641,32.905178,long intergenic non-protein coding RNA 1877,LINC01877,101927641,
ENSG00000213938,729399,10.6145735,selenophosphate synthetase 1 pseudogene 6,SEPHS1P6,729399,
ENSG00000226124,348751,32.905178,formiminotransferase cyclodeaminase N-terminal like,FTCDNL1,348751,
ENSG00000232732,101927687,32.905178,uncharacterized LOC101927687,LOC101927687,101927687,
ENSG00000227004,ENSG00000227004,32.905186,,,,
ENSG00000240302,106481118,10.614576,"RNA, 7SL, cytoplasmic 717, pseudogene",RN7SL717P,106481118,
ENSG00000178074,205327,31.898127,chromosome 2 open reading frame 69,C2orf69,205327,
ENSG00000162971,129450,31.898115,tRNA-yW synthesizing protein 5,TYW5,129450,
ENSG00000162972,79568,32.905167,matrix AAA peptidase interacting protein 1,MAIP1,79568,
ENSG00000196141,26010,32.905186,spermatogenesis associated serine rich 2 like,SPATS2L,26010,
ENSG00000201649,106481712,10.614576,RNY4 pseudogene 34,RNY4P34,106481712,
ENSG00000280896,,,,,,True
ENSG00000155729,130535,32.905186,potassium channel tetramerization domain containing 18,KCTD18,130535,
ENSG00000163535,151246,31.89811,shugoshin 2,SGO2,151246,
ENSG00000138356,316,31.898125,aldehyde oxidase 1,AOX1,316,
ENSG00000276477,,,,,,True
ENSG00000244301,ENSG00000244301,10.614576,"aldehyde oxidase 3, pseudogene",AOX3P,,
ENSG00000280298,,,,,,True
ENSG00000243478,344454,10.614574,"aldehyde oxidase 2, pseudogene",AOX2P,344454,
ENSG00000237166,ENSG00000237166,32.905167,long intergenic non-protein coding RNA 1792,LINC01792,,
ENSG00000201737,106481631,10.614574,"RNA, U1 small nuclear 133, pseudogene",RNU1-133P,106481631,
ENSG00000230408,101927795,32.905178,BZW1 antisense RNA 1,BZW1-AS1,101927795,
ENSG00000082153,9689,31.898127,basic leucine zipper and W2 domains 1,BZW1,9689,
ENSG00000207116,100873740,10.614576,"RNA, U6 small nuclear 31, pseudogene",RNU6-31P,100873740,
ENSG00000221530,,,,,,True
ENSG00000224346,391472,10.614576,BICD cargo adaptor 1 pseudogene 1,BICD1P1,391472,
ENSG00000223092,100873385,10.614576,"RNA, 5S ribosomal pseudogene 115",RNA5SP115,100873385,
ENSG00000013441,1195,31.898127,CDC like kinase 1,CLK1,1195,
ENSG00000252759,ENSG00000252759,32.905186,Y RNA,Y_RNA,,
ENSG00000240344,53938,31.89811,peptidylprolyl isomerase like 3,PPIL3,53938,
ENSG00000201499,106479706,10.614571,"RNA, U6 small nuclear 312, pseudogene",RNU6-312P,106479706,
ENSG00000196290,60491,31.89811,NGG1 interacting factor 3 like 1,NIF3L1,60491,
ENSG00000252916,106479903,10.6145735,"RNA, U6 small nuclear 762, pseudogene",RNU6-762P,106479903,
ENSG00000115942,4999,32.905178,origin recognition complex subunit 2,ORC2,4999,
ENSG00000183308,ENSG00000183308,32.905178,,,,
ENSG00000155744,285172,32.905178,hyccin PI4KA lipid kinase complex subunit 2,HYCC2,285172,
ENSG00000225695,ENSG00000225695,10.6145735,heterogeneous nuclear ribonucleoprotein A1 pseudogene 35,HNRNPA1P35,,
ENSG00000226658,ENSG00000226658,10.614573,ribosomal protein L23a pseudogene 30,RPL23AP30,,
ENSG00000119013,4709,31.898115,NADH:ubiquinone oxidoreductase subunit B3,NDUFB3,4709,
ENSG00000252148,106481561,10.614571,"RNA, U6 small nuclear 1206, pseudogene",RNU6-1206P,106481561,
ENSG00000273975,ENSG00000273975,32.905167,Metazoan signal recognition particle RNA,Metazoa_SRP,,
ENSG00000232719,ENSG00000232719,32.905178,,,,
ENSG00000224672,ENSG00000224672,10.614574,ribosomal protein L17 pseudogene 10,RPL17P10,,
ENSG00000003402,8837,31.898127,CASP8 and FADD like apoptosis regulator,CFLAR,8837,
ENSG00000232133,100874399,10.6145735,inosine monophosphate dehydrogenase 1 pseudogene 10,IMPDH1P10,100874399,
ENSG00000226312,65072,32.905178,CFLAR antisense RNA 1,CFLAR-AS1,65072,
ENSG00000238829,100147832,10.614574,"RNA, U7 small nuclear 45 pseudogene",RNU7-45P,100147832,
ENSG00000235579,ENSG00000235579,10.614574,RPL38 pseudogene 5,RPL38P5,,
ENSG00000234431,ENSG00000234431,32.905178,,,,
ENSG00000003400,843,31.234789,caspase 10,CASP10,843,
ENSG00000227348,100873263,10.6145735,MT-ND5 pseudogene 25,MTND5P25,100873263,
ENSG00000225796,100873245,10.614576,MT-ND4 pseudogene 23,MTND4P23,100873245,
ENSG00000235318,107075100,10.614576,MT-ND4L pseudogene 13,MTND4LP13,107075100,
ENSG00000064012,841,31.234793,caspase 8,CASP8,841,
ENSG00000155749,130540,31.898115,flagellum associated containing coiled-coil domains 1,FLACC1,130540,
ENSG00000115993,66008,32.905178,trafficking kinesin protein 2,TRAK2,66008,
ENSG00000082146,55437,31.234783,STE20 related adaptor beta,STRADB,55437,
ENSG00000213090,100420110,10.6145735,SCYL2 pseudogene 1,SCYL2P1,100420110,
ENSG00000202008,ENSG00000202008,32.905178,Y RNA,Y_RNA,,
ENSG00000155754,151254,32.905174,catsper channel auxiliary subunit tau,CATSPERT,151254,
ENSG00000234842,107075148,10.614571,MT-CO2 pseudogene 16,MTCO2P16,107075148,
ENSG00000224299,107075158,10.614571,MT-ATP6 pseudogene 16,MTATP6P16,107075158,
ENSG00000227736,107075155,10.614571,MT-CO3 pseudogene 16,MTCO3P16,107075155,
ENSG00000224590,107075278,10.614571,MT-ND3 pseudogene 16,MTND3P16,107075278,
ENSG00000234731,107075210,10.614571,MT-ND4L pseudogene 16,MTND4LP16,107075210,
ENSG00000249177,100873250,10.614571,MT-ND4 pseudogene 29,MTND4P29,100873250,
ENSG00000227841,100873267,10.614573,MT-ND5 pseudogene 31,MTND5P31,100873267,
ENSG00000155755,65062,31.89812,transmembrane protein 237,TMEM237,65062,
ENSG00000241790,ENSG00000241790,10.614574,enolase 1 pseudogene 4,ENO1P4,,
ENSG00000082126,58538,31.89812,MAGUK p55 scaffold protein 4,MPP4,58538,
ENSG00000222972,106479855,10.614574,"RNA, U6 small nuclear 651, pseudogene",RNU6-651P,106479855,
ENSG00000003393,57679,31.898115,alsin Rho guanine nucleotide exchange factor ALS2,ALS2,57679,
ENSG00000281201,,,,,,True
ENSG00000230799,100270860,10.614574,ribosomal protein S2 pseudogene 16,RPS2P16,100270860,
ENSG00000138395,65061,31.898125,cyclin dependent kinase 15,CDK15,65061,
ENSG00000202137,ENSG00000202137,32.905178,Y RNA,Y_RNA,,
ENSG00000231124,ENSG00000231124,10.614574,UBE2V1 pseudogene 11,UBE2V1P11,,
ENSG00000221374,,,,,,True
ENSG00000212184,106481895,10.614574,"RNA, U6 small nuclear 440, pseudogene",RNU6-440P,106481895,
ENSG00000221489,,,,,,True
ENSG00000273209,ENSG00000273209,32.905186,,,,
ENSG00000155760,8324,31.898127,frizzled class receptor 7,FZD7,8324,
ENSG00000182329,100652824,32.905186,KIAA2012,KIAA2012,100652824,
ENSG00000222035,729224,32.905186,KIAA2012 antisense RNA 1,KIAA2012-AS1,729224,
ENSG00000274633,,,,,,True
ENSG00000231903,ENSG00000231903,32.905186,,,,
ENSG00000227890,79055,10.6145735,proteasome subunit alpha 2 pseudogene 3,PSMA2P3,79055,
ENSG00000223825,ENSG00000223825,10.6145735,DAZ associated protein 2 pseudogene 1,DAZAP2P1,,
ENSG00000116030,7341,31.234789,small ubiquitin like modifier 1,SUMO1,7341,
ENSG00000224463,ENSG00000224463,10.614573,ribosomal protein L39 pseudogene 14,RPL39P14,,
ENSG00000055044,51602,31.898127,NOP58 ribonucleoprotein,NOP58,51602,
ENSG00000212534,692110,31.898115,"small nucleolar RNA, C/D box 70",SNORD70,692110,
ENSG00000212309,109616995,31.898127,"small nucleolar RNA, C/D box 70B",SNORD70B,109616995,
ENSG00000271852,100113392,32.905186,"small nucleolar RNA, C/D box 11B",SNORD11B,100113392,
ENSG00000238317,692058,31.898115,"small nucleolar RNA, C/D box 11",SNORD11,692058,
ENSG00000264275,106479496,10.6145735,"RNA, 7SL, cytoplasmic 753, pseudogene",RN7SL753P,106479496,
ENSG00000281619,,,,,,True
ENSG00000226261,ENSG00000226261,10.614573,PIMREG pseudogene 1,PIMREGP1,,
ENSG00000272966,ENSG00000272966,32.905174,,,,
ENSG00000242696,106480483,10.614573,"RNA, 7SL, cytoplasmic 40, pseudogene",RN7SL40P,106480483,
ENSG00000273456,ENSG00000273456,32.905178,,,,
ENSG00000204217,659,31.89812,bone morphogenetic protein receptor type 2,BMPR2,659,
