query,_id,_score,name,symbol,entrezgene,notfound
ENSG00000223972,ENSG00000223972,10.6145735,DEAD/H-box helicase 11 like 1 (pseudogene),DDX11L1,,
ENSG00000227232,ENSG00000227232,10.614576,"WASP family homolog 7, pseudogene",WASH7P,,
ENSG00000278267,102466751,32.905167,microRNA 6859-1,MIR6859-1,102466751,
ENSG00000243485,ENSG00000243485,32.905178,MIR1302-2 host gene,MIR1302-2HG,,
ENSG00000274890,,,,,,True
ENSG00000237613,645520,32.905186,family with sequence similarity 138 member A,FAM138A,645520,
ENSG00000268020,79504,10.614574,olfactory receptor family 4 subfamily G member 4 pseudogene,OR4G4P,79504,
ENSG00000240361,403263,10.614576,olfactory receptor family 4 subfamily G member 11 pseudogene,OR4G11P,403263,
ENSG00000186092,79501,31.898127,olfactory receptor family 4 subfamily F member 5,OR4F5,79501,
ENSG00000238009,,,,,,True
ENSG00000239945,ENSG00000239945,32.905174,,,,
ENSG00000233750,100420257,10.6145735,capicua transcriptional repressor pseudogene 27,CICP27,100420257,
ENSG00000268903,ENSG00000268903,32.905167,,,,
ENSG00000269981,ENSG00000269981,32.905186,,,,
ENSG00000239906,ENSG00000239906,32.905178,,,,
ENSG00000241860,ENSG00000241860,32.905178,,,,
ENSG00000222623,124906683,32.905186,U6 spliceosomal RNA,LOC124906683,124906683,
ENSG00000241599,ENSG00000241599,32.905186,,,,
ENSG00000279928,ENSG00000279928,10.614573,DEAD/H-box helicase 11 like 17 (pseudogene),DDX11L17,,
ENSG00000279457,ENSG00000279457,10.6145735,"WAS protein family homolog 9, pseudogene",WASH9P,,
ENSG00000273874,102465909,32.905167,microRNA 6859-2,MIR6859-2,102465909,
ENSG00000275135,,,,,,True
ENSG00000228463,728481,10.614574,ribosomal protein L23a pseudogene 21,RPL23AP21,728481,
ENSG00000241670,,,,,,True
ENSG00000236679,728517,10.614576,ribosomal protein L23a pseudogene 24,RPL23AP24,728517,
ENSG00000236743,,,,,,True
ENSG00000236601,ENSG00000236601,32.905174,,,,
ENSG00000237094,ENSG00000237094,32.905178,,,,
ENSG00000269732,ENSG00000269732,10.614571,WBP1L pseudogene 7,WBP1LP7,,
ENSG00000278566,,,,,,True
ENSG00000224813,,,,,,True
ENSG00000233653,ENSG00000233653,10.614574,capicua transcriptional repressor pseudogene 7,CICP7,,
ENSG00000250575,ENSG00000250575,32.905186,,,,
ENSG00000278757,124904706,32.905186,U6 spliceosomal RNA,LOC124904706,124904706,
ENSG00000230021,ENSG00000230021,32.905174,,,,
ENSG00000235146,ENSG00000235146,32.905178,,,,
ENSG00000225972,100887749,10.614571,MT-ND1 pseudogene 23,MTND1P23,100887749,
ENSG00000225630,100652939,10.614576,MT-ND2 pseudogene 28,MTND2P28,100652939,
ENSG00000276171,,,,,,True
ENSG00000237973,107075141,10.614574,MT-CO1 pseudogene 12,MTCO1P12,107075141,
ENSG00000278791,ENSG00000278791,32.905186,,,,
ENSG00000229344,107075310,10.289717,MT-CO2 pseudogene 12,MTCO2P12,107075310,
ENSG00000240409,106480795,10.614574,MT-ATP8 pseudogene 1,MTATP8P1,106480795,
ENSG00000248527,106480796,10.614574,MT-ATP6 pseudogene 1,MTATP6P1,106480796,
ENSG00000198744,107075270,10.614574,MT-CO3 pseudogene 12,MTCO3P12,107075270,
ENSG00000268663,ENSG00000268663,10.614574,WBP1L pseudogene 6,WBP1LP6,,
ENSG00000273547,,,,,,True
ENSG00000229376,ENSG00000229376,10.614574,capicua transcriptional repressor pseudogene 3,CICP3,,
ENSG00000228327,ENSG00000228327,32.905178,,,,
ENSG00000223181,106480091,10.614576,"RNA, U6 small nuclear 1199, pseudogene",RNU6-1199P,106480091,
ENSG00000229905,ENSG00000229905,32.905186,,,,
ENSG00000237491,105378580,32.905186,long intergenic non-protein coding RNA 1409,LINC01409,105378580,
ENSG00000230092,ENSG00000230092,32.905186,,,,
ENSG00000177757,400728,32.905186,family with sequence similarity 87 member B,FAM87B,400728,
ENSG00000228794,643837,32.905186,long intergenic non-protein coding RNA 1128,LINC01128,643837,
ENSG00000225880,ENSG00000225880,32.905186,long intergenic non-protein coding RNA 115,LINC00115,,
ENSG00000230368,284593,32.905186,family with sequence similarity 41 member C,FAM41C,284593,
ENSG00000234711,388579,10.614576,tubulin beta 8 class VIII pseudogene 11,TUBB8P11,388579,
ENSG00000283040,ENSG00000283040,32.905186,,,,
ENSG00000272438,ENSG00000272438,32.905186,,,,
ENSG00000230699,,,,,,True
ENSG00000241180,,,,,,True
ENSG00000223764,100130417,32.905178,long intergenic non-protein coding RNA 2593,LINC02593,100130417,
ENSG00000187634,148398,32.905186,sterile alpha motif domain containing 11,SAMD11,148398,
ENSG00000188976,26155,31.898125,NOC2 like nucleolar associated transcriptional repressor,NOC2L,26155,
ENSG00000187961,339451,31.898127,kelch like family member 17,KLHL17,339451,
ENSG00000277294,,,,,,True
ENSG00000187583,84069,32.905174,pleckstrin homology domain containing N1,PLEKHN1,84069,
ENSG00000187642,84808,32.905174,"PPARGC1 and ESRR induced regulator, muscle 1",PERM1,84808,
ENSG00000272512,ENSG00000272512,32.905178,,,,
ENSG00000188290,57801,31.898115,hes family bHLH transcription factor 4,HES4,57801,
ENSG00000187608,9636,31.89811,ISG15 ubiquitin like modifier,ISG15,9636,
ENSG00000231702,ENSG00000231702,32.905167,,,,
ENSG00000224969,ENSG00000224969,32.905178,,,,
ENSG00000188157,375790,31.234789,agrin,AGRN,375790,
ENSG00000242590,ENSG00000242590,32.905186,,,,
ENSG00000217801,ENSG00000217801,10.614576,"protein tyrosine phosphatase non-receptor type 11B, pseudogene",PTPN11BP,,
ENSG00000273443,ENSG00000273443,32.905174,,,,
ENSG00000237330,401934,31.898115,ring finger protein 223,RNF223,401934,
ENSG00000131591,54991,32.905178,chromosome 1 open reading frame 159,C1orf159,54991,
ENSG00000223823,254099,32.905178,long intergenic non-protein coding RNA 1342,LINC01342,254099,
ENSG00000207730,406984,32.905167,microRNA 200b,MIR200B,406984,
ENSG00000207607,406983,32.905167,microRNA 200a,MIR200A,406983,
ENSG00000198976,554210,32.905178,microRNA 429,MIR429,554210,
ENSG00000272141,ENSG00000272141,32.905178,,,,
ENSG00000205231,100506376,32.905186,TTLL10 antisense RNA 1,TTLL10-AS1,100506376,
ENSG00000162571,254173,31.898127,tubulin tyrosine ligase like 10,TTLL10,254173,
ENSG00000186891,8784,31.898115,TNF receptor superfamily member 18,TNFRSF18,8784,
ENSG00000186827,7293,31.898115,TNF receptor superfamily member 4,TNFRSF4,7293,
ENSG00000078808,51150,31.898115,stromal cell derived factor 4,SDF4,51150,
ENSG00000176022,126792,31.89811,"beta-1,3-galactosyltransferase 6",B3GALT6,126792,
ENSG00000184163,388581,31.898115,C1q and TNF related 12,C1QTNF12,388581,
ENSG00000260179,ENSG00000260179,32.905167,,,,
ENSG00000160087,118424,31.89812,ubiquitin conjugating enzyme E2 J2,UBE2J2,118424,
ENSG00000230415,ENSG00000230415,32.905186,long intergenic non-protein coding RNA 1786,LINC01786,,
ENSG00000162572,6339,31.898125,sodium channel epithelial 1 subunit delta,SCNN1D,6339,
ENSG00000131584,116983,31.898115,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",ACAP3,116983,
ENSG00000278073,102465434,32.905178,microRNA 6726,MIR6726,102465434,
ENSG00000169972,126789,31.89811,pseudouridine synthase like 1,PUSL1,126789,
ENSG00000127054,54973,31.89812,integrator complex subunit 11,INTS11,54973,
ENSG00000274153,,,,,,True
ENSG00000240731,ENSG00000240731,32.905186,,,,
ENSG00000224051,80772,31.898127,ceramide-1-phosphate transfer protein,CPTP,80772,
ENSG00000169962,83756,31.898127,taste 1 receptor member 3,TAS1R3,83756,
ENSG00000107404,1855,32.905186,dishevelled segment polarity protein 1,DVL1,1855,
ENSG00000275884,,,,,,True
ENSG00000162576,54587,32.905174,matrix remodeling associated 8,MXRA8,54587,
ENSG00000175756,54998,31.898127,aurora kinase A interacting protein 1,AURKAIP1,54998,
ENSG00000223663,107075246,10.614576,NADH:ubiquinone oxidoreductase subunit B4 pseudogene 8,NDUFB4P8,107075246,
ENSG00000221978,81669,31.898127,cyclin L2,CCNL2,81669,
ENSG00000224870,148413,32.905186,MRPL20 antisense RNA 1,MRPL20-AS1,148413,
ENSG00000242485,55052,31.898127,mitochondrial ribosomal protein L20,MRPL20,55052,
ENSG00000264293,107074708,10.614574,"RNA, 7SL, cytoplasmic 657, pseudogene",RN7SL657P,107074708,
ENSG00000272455,ENSG00000272455,32.905186,MRPL20 divergent transcript,MRPL20-DT,,
ENSG00000235098,441869,32.905186,ankyrin repeat domain 65,ANKRD65,441869,
ENSG00000225905,ENSG00000225905,32.905174,ANKRD65 antisense RNA 1,ANKRD65-AS1,,
ENSG00000205116,643965,32.905167,transmembrane protein 278,TMEM278,643965,
ENSG00000225285,102724312,32.905178,long intergenic non-protein coding RNA 1770,LINC01770,102724312,
ENSG00000179403,64856,31.89811,von Willebrand factor A domain containing 1,VWA1,64856,
ENSG00000215915,219293,31.898125,ATPase family AAA domain containing 3C,ATAD3C,219293,
ENSG00000160072,83858,31.898127,ATPase family AAA domain containing 3B,ATAD3B,83858,
ENSG00000197785,55210,31.898125,ATPase family AAA domain containing 3A,ATAD3A,55210,
ENSG00000205090,339453,32.905167,transmembrane protein 240,TMEM240,339453,
ENSG00000160075,29101,31.89811,"SSU72 homolog, RNA polymerase II CTD phosphatase",SSU72,29101,
ENSG00000215014,134006662,32.905178,SSU72 antisense RNA 1,SSU72-AS1,134006662,
ENSG00000279244,,,,,,True
ENSG00000274481,ENSG00000274481,32.905178,,,,
ENSG00000280747,,,,,,True
ENSG00000228594,643988,32.905186,fibronectin type III domain containing 10,FNDC10,643988,
ENSG00000272106,ENSG00000272106,32.905178,,,,
ENSG00000197530,142678,31.89812,MIB E3 ubiquitin protein ligase 2,MIB2,142678,
ENSG00000189409,8510,31.898115,matrix metallopeptidase 23B,MMP23B,8510,
ENSG00000248333,984,31.898127,cyclin dependent kinase 11B,CDK11B,984,
ENSG00000272004,ENSG00000272004,32.905186,,,,
ENSG00000189339,728661,32.905178,solute carrier family 35 member E2B,SLC35E2B,728661,
ENSG00000269737,ENSG00000269737,32.905178,,,,
ENSG00000269227,,,,,,True
ENSG00000215914,ENSG00000215914,10.614573,matrix metallopeptidase 23A (pseudogene),MMP23A,,
ENSG00000008128,728642,31.898115,cyclin dependent kinase 11A,CDK11A,728642,
ENSG00000268575,ENSG00000268575,32.905178,,,,
ENSG00000227775,ENSG00000227775,32.905178,,,,
ENSG00000215790,ENSG00000215790,10.614576,solute carrier family 35 member E2A (pseudogene),SLC35E2A,,
ENSG00000008130,65220,31.89812,NAD kinase,NADK,65220,
ENSG00000078369,2782,31.898125,G protein subunit beta 1,GNB1,2782,
ENSG00000231050,105378949,32.905186,GNB1 divergent transcript,GNB1-DT,105378949,
ENSG00000169885,163688,31.898125,calmodulin like 6,CALML6,163688,
ENSG00000178821,339456,32.905186,transmembrane protein 52,TMEM52,339456,
ENSG00000142609,85452,32.905186,cilia and flagella associated protein 74,CFAP74,85452,
ENSG00000233542,ENSG00000233542,32.905186,,,,
ENSG00000187730,2563,31.89812,gamma-aminobutyric acid type A receptor subunit delta,GABRD,2563,
ENSG00000226969,105378591,32.905174,PRKCZ divergent transcript,PRKCZ-DT,105378591,
ENSG00000067606,5590,31.898127,protein kinase C zeta,PRKCZ,5590,
ENSG00000271806,ENSG00000271806,32.905186,,,,
ENSG00000182873,100506504,32.905186,PRKCZ antisense RNA 1,PRKCZ-AS1,100506504,
ENSG00000162585,199990,31.898127,FA core complex associated protein 20,FAAP20,199990,
ENSG00000234396,ENSG00000234396,32.905178,,,,
ENSG00000277082,,,,,,True
ENSG00000157933,6497,31.898127,SKI proto-oncogene,SKI,6497,
ENSG00000116151,79906,32.905178,MORN repeat containing 1,MORN1,79906,
ENSG00000272161,ENSG00000272161,32.905167,,,,
ENSG00000269896,ENSG00000269896,32.905174,,,,
ENSG00000272420,ENSG00000272420,32.905178,,,,
ENSG00000157916,11079,32.905186,retention in endoplasmic reticulum sorting receptor 1,RER1,11079,
ENSG00000157911,5192,31.898127,peroxisomal biogenesis factor 10,PEX10,5192,
ENSG00000149527,9651,31.898127,phospholipase C eta 2,PLCH2,9651,
ENSG00000224387,ENSG00000224387,32.905178,,,,
ENSG00000229393,ENSG00000229393,32.905167,,,,
ENSG00000157881,55229,31.898125,pantothenate kinase 4 (inactive),PANK4,55229,
ENSG00000197921,388585,31.89811,hes family bHLH transcription factor 5,HES5,388585,
ENSG00000272449,ENSG00000272449,32.905167,,,,
ENSG00000238164,ENSG00000238164,32.905178,TNFRSF14 antisense RNA 1,TNFRSF14-AS1,,
ENSG00000157873,8764,31.898115,TNF receptor superfamily member 14,TNFRSF14,8764,
ENSG00000225931,ENSG00000225931,32.905174,,,,
ENSG00000228037,ENSG00000228037,32.905178,,,,
ENSG00000157870,127281,31.89812,peroxiredoxin like 2B,PRXL2B,127281,
ENSG00000142606,79258,31.89812,membrane metalloendopeptidase like 1,MMEL1,79258,
ENSG00000237058,105378597,32.905178,MMEL1 antisense RNA 1,MMEL1-AS1,105378597,
ENSG00000215912,100287898,32.905186,tetratricopeptide repeat domain 34,TTC34,100287898,
ENSG00000233234,ENSG00000233234,32.905178,,,,
ENSG00000231630,ENSG00000231630,32.905178,,,,
ENSG00000169717,140625,32.905186,actin related protein T2,ACTRT2,140625,
ENSG00000177133,124903827,32.905178,translation initiation factor IF-2,LOC124903827,124903827,
ENSG00000142611,63976,31.898127,PR/SET domain 16,PRDM16,63976,
ENSG00000226286,ENSG00000226286,32.905186,,,,
ENSG00000279839,ENSG00000279839,32.905178,,,,
ENSG00000272235,ENSG00000272235,32.905167,,,,
ENSG00000130762,27237,31.89811,Rho guanine nucleotide exchange factor 16,ARHGEF16,27237,
ENSG00000272088,ENSG00000272088,32.905186,,,,
ENSG00000162591,1953,32.905186,multiple EGF like domains 6,MEGF6,1953,
ENSG00000207776,693135,32.905174,microRNA 551a,MIR551A,693135,
ENSG00000238260,ENSG00000238260,32.905186,,,,
ENSG00000158109,127262,31.898127,tumor protein p63 regulated 1 like,TPRG1L,127262,
ENSG00000116213,49856,31.89812,"WD repeat containing, antisense to TP73",WRAP73,49856,
ENSG00000078900,7161,31.898127,tumor protein p73,TP73,7161,
ENSG00000227589,ENSG00000227589,32.905167,TP73 antisense RNA 3,TP73-AS3,,
ENSG00000235131,117134600,32.905167,TP73 antisense RNA 2,TP73-AS2,117134600,
ENSG00000227372,ENSG00000227372,10.614574,"Gfo/Idh/MocA-like oxidoreductase domain containing 3, pseudogene",GFOD3P,,
ENSG00000276189,ENSG00000276189,32.905178,,,,
ENSG00000162592,148870,32.905167,coiled-coil domain containing 27,CCDC27,148870,
ENSG00000235169,388588,32.905167,small integral membrane protein 1 (Vel blood group),SMIM1,388588,
ENSG00000130764,57470,32.905178,leucine rich repeat containing 47,LRRC47,57470,
ENSG00000266075,106481079,10.6145735,"RNA, 7SL, cytoplasmic 574, pseudogene",RN7SL574P,106481079,
ENSG00000272153,ENSG00000272153,32.905178,,,,
ENSG00000116198,9731,32.905178,centrosomal protein 104,CEP104,9731,
ENSG00000169598,1677,31.898115,DNA fragmentation factor subunit beta,DFFB,1677,
ENSG00000198912,339448,32.905178,chromosome 1 open reading frame 174,C1orf174,339448,
ENSG00000236423,100133612,31.898125,long intergenic non-protein coding RNA 1134,LINC01134,100133612,
ENSG00000233304,ENSG00000233304,32.905186,long intergenic non-protein coding RNA 1346,LINC01346,,
ENSG00000226374,105376672,32.905186,long intergenic non-protein coding RNA 1345,LINC01345,105376672,
ENSG00000229280,644357,10.614576,eukaryotic translation elongation factor 1 delta pseudogene 6,EEF1DP6,644357,
ENSG00000235054,284661,32.905174,long intergenic non-protein coding RNA 1777,LINC01777,284661,
ENSG00000227169,ENSG00000227169,32.905186,,,,
ENSG00000232596,105376679,32.905186,long intergenic non-protein coding RNA 1646,LINC01646,105376679,
ENSG00000196581,55966,31.898127,adherens junctions associated protein 1,AJAP1,55966,
ENSG00000277731,,,,,,True
ENSG00000231510,ENSG00000231510,32.905186,long intergenic non-protein coding RNA 2782,LINC02782,,
ENSG00000260972,ENSG00000260972,32.905186,,,,
ENSG00000264341,ENSG00000264341,32.905174,,,,
ENSG00000236948,,,,,,True
ENSG00000216045,,,,,,True
ENSG00000264101,100616421,32.905186,microRNA 4689,MIR4689,100616421,
ENSG00000131697,261734,31.898115,nephrocystin 4,NPHP4,261734,
ENSG00000266687,,,,,,True
ENSG00000069424,8514,31.898115,potassium voltage-gated channel subfamily A regulatory beta subunit 2,KCNAB2,8514,
ENSG00000116254,26038,31.898115,chromodomain helicase DNA binding protein 5,CHD5,26038,
ENSG00000116251,6146,31.898115,ribosomal protein L22,RPL22,6146,
ENSG00000226944,ENSG00000226944,32.905186,RNF207 antisense RNA 1,RNF207-AS1,,
ENSG00000158286,388591,32.905174,ring finger protein 207,RNF207,388591,
ENSG00000116237,23463,31.898115,isoprenylcysteine carboxyl methyltransferase,ICMT,23463,
ENSG00000225077,148645,32.905178,ICMT divergent transcript,ICMT-DT,148645,
ENSG00000173673,390992,31.89812,hes family bHLH transcription factor 3,HES3,390992,
ENSG00000158292,387509,31.898115,G protein-coupled receptor 153,GPR153,387509,
ENSG00000097021,11332,31.898127,acyl-CoA thioesterase 7,ACOT7,11332,
ENSG00000271746,ENSG00000271746,32.905178,,,,
ENSG00000069812,54626,32.905186,hes family bHLH transcription factor 2,HES2,54626,
ENSG00000187017,83715,31.89811,espin,ESPN,83715,
ENSG00000265392,100422975,32.905167,microRNA 4252,MIR4252,100422975,
ENSG00000231868,ENSG00000231868,32.905167,,,,
ENSG00000215788,8718,31.898125,TNF receptor superfamily member 25,TNFRSF25,8718,
ENSG00000171680,57449,32.905186,pleckstrin homology and RhoGEF domain containing G5,PLEKHG5,57449,
ENSG00000162408,79707,31.898115,nucleolar protein 9,NOL9,79707,
ENSG00000253022,106481411,10.614573,"RNA, U6 small nuclear 731, pseudogene",RNU6-731P,106481411,
ENSG00000229519,ENSG00000229519,32.905174,,,,
ENSG00000173662,80835,31.898127,taste 1 receptor member 1,TAS1R1,80835,
ENSG00000204859,3104,31.898115,zinc finger and BTB domain containing 48,ZBTB48,3104,
ENSG00000162413,9903,31.898127,kelch like family member 21,KLHL21,9903,
ENSG00000116273,148479,31.898127,PHD finger protein 13,PHF13,148479,
ENSG00000041988,90326,31.898127,THAP domain containing 3,THAP3,90326,
ENSG00000007923,55735,31.89812,DnaJ heat shock protein family (Hsp40) member C11,DNAJC11,55735,
ENSG00000228750,ENSG00000228750,32.905178,long intergenic non-protein coding RNA 1672,LINC01672,,
ENSG00000237436,ENSG00000237436,32.905178,CAMTA1 divergent transcript,CAMTA1-DT,,
ENSG00000171735,23261,32.905178,calmodulin binding transcription activator 1,CAMTA1,23261,
ENSG00000227950,100270828,10.614574,ribosomal protein L37 pseudogene 9,RPL37P9,100270828,
ENSG00000237365,127138864,32.905186,CAMTA1 antisense RNA 3,CAMTA1-AS3,127138864,
ENSG00000207056,106481604,10.614576,"RNA, U1 small nuclear 8, pseudogene",RNU1-8P,106481604,
ENSG00000280801,,,,,,True
ENSG00000237402,ENSG00000237402,32.905174,CAMTA1 intronic transcript 1,CAMTA1-IT1,,
ENSG00000237728,ENSG00000237728,32.905186,CAMTA1 antisense RNA 2,CAMTA1-AS2,,
ENSG00000225126,ENSG00000225126,32.905186,CAMTA1 antisense RNA 1,CAMTA1-AS1,,
ENSG00000270171,ENSG00000270171,32.905178,,,,
ENSG00000270035,ENSG00000270035,32.905186,,,,
ENSG00000269978,ENSG00000269978,32.905167,,,,
ENSG00000049245,9341,31.898127,vesicle associated membrane protein 3,VAMP3,9341,
ENSG00000269925,ENSG00000269925,32.905178,,,,
ENSG00000049246,8863,31.898115,period circadian regulator 3,PER3,8863,
ENSG00000236266,ENSG00000236266,32.905167,,,,
ENSG00000049247,10911,31.89812,urotensin 2,UTS2,10911,
ENSG00000049249,3604,32.905178,TNF receptor superfamily member 9,TNFRSF9,3604,
ENSG00000270330,ENSG00000270330,32.905167,,,,
ENSG00000116288,11315,31.89811,Parkinsonism associated deglycase,PARK7,11315,
ENSG00000200344,ENSG00000200344,32.905178,Y RNA,Y_RNA,,
ENSG00000116285,54206,32.905178,ERBB receptor feedback inhibitor 1,ERRFI1,54206,
ENSG00000238290,ENSG00000238290,32.905186,ERRFI1 divergent transcript,ERRFI1-DT,,
ENSG00000232848,ENSG00000232848,10.614576,ribosomal protein L7a pseudogene 18,RPL7AP18,,
ENSG00000229305,100129776,10.614574,EIF2S3 pseudogene 1,EIF2S3P1,100129776,
ENSG00000227634,ENSG00000227634,32.905186,long intergenic non-protein coding RNA 1714,LINC01714,,
ENSG00000200975,106481952,10.614573,"RNA, U1 small nuclear 7, pseudogene",RNU1-7P,106481952,
ENSG00000233645,ENSG00000233645,32.905174,,,,
ENSG00000251977,106480004,10.614576,"RNA, U6 small nuclear 991, pseudogene",RNU6-991P,106480004,
ENSG00000162426,50651,31.898127,solute carrier family 45 member 1,SLC45A1,50651,
ENSG00000252254,ENSG00000252254,32.905178,Y RNA,Y_RNA,,
ENSG00000142599,473,31.898127,arginine-glutamic acid dipeptide repeats,RERE,473,
ENSG00000232912,ENSG00000232912,32.905186,RERE antisense RNA 1,RERE-AS1,,
ENSG00000221083,124900452,32.905186,small nucleolar RNA SNORA77,LOC124900452,124900452,
ENSG00000270282,ENSG00000270282,32.905167,,,,
ENSG00000280851,,,,,,True
ENSG00000234619,100270823,10.614576,ribosomal protein L7 pseudogene 11,RPL7P11,100270823,
ENSG00000224315,644896,10.6145735,ribosomal protein L7 pseudogene 7,RPL7P7,644896,
ENSG00000222511,ENSG00000222511,32.905186,Y RNA,Y_RNA,,
ENSG00000226545,100128662,10.614571,ribosomal protein L27 pseudogene,RPL27P3,100128662,
ENSG00000228423,ENSG00000228423,32.905186,,,,
ENSG00000229716,ENSG00000229716,10.614576,ribosomal protein L23a pseudogene 19,RPL23AP19,,
ENSG00000074800,2023,31.898115,enolase 1,ENO1,2023,
ENSG00000280816,,,,,,True
ENSG00000274258,102465436,32.905178,microRNA 6728,MIR6728,102465436,
ENSG00000236269,,,,,,True
ENSG00000230679,100505975,32.905167,ENO1 antisense RNA 1,ENO1-AS1,100505975,
ENSG00000201725,106481275,10.614571,"RNA, U6 small nuclear 304, pseudogene",RNU6-304P,106481275,
ENSG00000238249,ENSG00000238249,10.614571,high mobility group nucleosomal binding domain 2 pseudogene 17,HMGN2P17,,
ENSG00000232208,ENSG00000232208,32.905186,,,,
ENSG00000232663,ENSG00000232663,32.905178,,,,
ENSG00000131686,765,31.898127,carbonic anhydrase 6,CA6,765,
ENSG00000265141,106480377,10.614574,"RNA, 7SL, cytoplasmic 451, pseudogene",RN7SL451P,106480377,
ENSG00000197241,155184,32.905174,solute carrier family 2 member 7,SLC2A7,155184,
ENSG00000142583,6518,32.905186,solute carrier family 2 member 5,SLC2A5,6518,
ENSG00000252404,124900441,32.905178,small Cajal body-specific RNA 16,LOC124900441,124900441,
ENSG00000281506,,,,,,True
ENSG00000180758,80045,31.898127,G protein-coupled receptor 157,GPR157,80045,
ENSG00000228526,106614088,32.905174,MIR34A host gene,MIR34AHG,106614088,
ENSG00000207865,,,,,,True
ENSG00000234546,102724571,32.905178,long non coding transcriptional activator of miR34a,LNCTAM34A,102724571,
ENSG00000281937,,,,,,True
ENSG00000049239,9563,31.898115,hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase,H6PD,9563,
ENSG00000171621,80176,32.905186,splA/ryanodine receptor domain and SOCS box containing 1,SPSB1,80176,
ENSG00000252956,100873279,10.614576,"RNA, 5S ribosomal pseudogene 40",RNA5SP40,100873279,
ENSG00000235263,ENSG00000235263,32.905186,,,,
ENSG00000171612,84275,32.905186,solute carrier family 25 member 33,SLC25A33,84275,
ENSG00000231181,642740,10.614574,ribosomal protein L9 pseudogene 11,RPL9P11,642740,
ENSG00000188807,199953,32.905178,transmembrane protein 201,TMEM201,199953,
ENSG00000171608,5293,31.898127,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta",PIK3CD,5293,
ENSG00000179840,644997,32.905186,PIK3CD antisense RNA 1,PIK3CD-AS1,644997,
ENSG00000233268,ENSG00000233268,32.905186,,,,
ENSG00000231789,101929074,32.905178,PIK3CD antisense RNA 2,PIK3CD-AS2,101929074,
ENSG00000171603,22883,31.898127,calsyntenin 1,CLSTN1,22883,
ENSG00000271264,ENSG00000271264,10.614573,mitotic spindle organizing protein 1 pseudogene 1,MZT1P1,,
ENSG00000280113,ENSG00000280113,32.905167,,,,
ENSG00000178585,56998,31.898115,catenin beta interacting protein 1,CTNNBIP1,56998,
ENSG00000223989,139355239,32.905178,CTNNBIP1 antisense RNA 1,CTNNBIP1-AS1,139355239,
ENSG00000162441,84328,32.905174,leucine zipper and CTNNBIP1 domain containing,LZIC,84328,
ENSG00000228150,ENSG00000228150,32.905178,,,,
ENSG00000173614,64802,31.898125,nicotinamide nucleotide adenylyltransferase 1,NMNAT1,64802,
ENSG00000202415,ENSG00000202415,10.614574,RN7SK pseudogene 269,RN7SKP269,,
ENSG00000265521,100847055,32.905178,microRNA 5697,MIR5697,100847055,
ENSG00000241326,ENSG00000241326,32.905178,,,,
ENSG00000162444,116362,31.898125,retinol binding protein 7,RBP7,116362,
ENSG00000130939,10277,31.898127,ubiquitination factor E4B,UBE4B,10277,
ENSG00000224340,100270877,10.614574,ribosomal protein L21 pseudogene 21,RPL21P21,100270877,
ENSG00000233623,100420660,10.614576,phosphoglycerate mutase 1 pseudogene 11,PGAM1P11,100420660,
ENSG00000201746,106479932,10.614574,"RNA, U6 small nuclear 828, pseudogene",RNU6-828P,106479932,
ENSG00000054523,23095,31.898127,kinesin family member 1B,KIF1B,23095,
ENSG00000264881,ENSG00000264881,32.905167,,,,
ENSG00000199562,106478920,10.614571,"RNA, U6 small nuclear 37, pseudogene",RNU6-37P,106478920,
ENSG00000264501,107048981,10.614576,"RNA, 7SL, cytoplasmic 731, pseudogene",RN7SL731P,107048981,
ENSG00000142657,5226,31.898115,phosphogluconate dehydrogenase,PGD,5226,
ENSG00000271989,ENSG00000271989,32.905178,,,,
ENSG00000251503,100526739,32.905186,CENPS-CORT readthrough,CENPS-CORT,100526739,
ENSG00000175279,378708,31.898127,centromere protein S,CENPS,378708,
ENSG00000241563,1325,31.898127,cortistatin,CORT,1325,
ENSG00000160049,1676,31.89811,DNA fragmentation factor subunit alpha,DFFA,1676,
ENSG00000203469,ENSG00000203469,32.905186,,,,
ENSG00000142655,5195,31.89812,peroxisomal biogenesis factor 14,PEX14,5195,
ENSG00000243267,106481089,10.614576,"RNA, 7SL, cytoplasmic 614, pseudogene",RN7SL614P,106481089,
ENSG00000130940,54897,31.898115,castor zinc finger 1,CASZ1,54897,
ENSG00000272078,ENSG00000272078,32.905178,,,,
ENSG00000225158,106480259,10.614574,heat shock protein family E (Hsp10) member 1 pseudogene 24,HSPE1P24,106480259,
ENSG00000175262,148345,32.905167,ciliated left-right organizer protein containing ZP-N domains,CIROZ,148345,
ENSG00000215785,ENSG00000215785,10.614571,cofilin 1 pseudogene 6,CFL1P6,,
ENSG00000264181,,,,,,True
ENSG00000281322,,,,,,True
ENSG00000120948,23435,31.898127,TAR DNA binding protein,TARDBP,23435,
ENSG00000277726,,,,,,True
ENSG00000009724,10747,31.89812,MBL associated serine protease 2,MASP2,10747,
ENSG00000271895,,,,,,True
ENSG00000116649,6723,31.898127,spermidine synthase,SRM,6723,
ENSG00000171824,5394,31.898127,exosome component 10,EXOSC10,5394,
ENSG00000226849,,,,,,True
ENSG00000281350,,,,,,True
